definition;lexical_class;aoa
acqua;nouns;18
aereo;nouns;22
agnello;nouns;36
albero;nouns;23
altalena;nouns;25
animale;nouns;27
arancia;nouns;25
armadio;nouns;27
ascensore;nouns;26
asino;nouns;29
autobus;nouns;26
automobile;nouns;24
bagno;nouns;22
bambola;nouns;22
banana;nouns;20
barca;nouns;24
biberon;nouns;21
bicchiere;nouns;22
bicicletta;nouns;22
bidè;nouns;27
biscotti;nouns;18
bocca;nouns;20
bottiglia;nouns;24
bottone;nouns;25
braccio;nouns;24
calze;nouns;23
camera;nouns;25
camion;nouns;24
cane;nouns;20
capelli;nouns;20
cappello;nouns;22
cappotto;nouns;24
capra;nouns;30
caramella;nouns;20
carne;nouns;19
carote;nouns;25
cassetto;nouns;26
cavallo;nouns;21
cerbiatto;nouns;33
chiave;nouns;21
cielo;nouns;24
cioccolata;nouns;24
ciuccio;nouns;18
coccodrillo;nouns;26
collana;nouns;25
coltello;nouns;23
coniglio;nouns;26
coperchio;nouns;29
coperta;nouns;25
cracker;nouns;25
cubi;nouns;30
cucchiaio;nouns;21
cucina;nouns;24
culla;nouns;31
cuscino;nouns;24
denti;nouns;21
dito;nouns;21
divano;nouns;25
doccia;nouns;24
elefante;nouns;24
faccia;nouns;25
farfalla;nouns;24
favola;nouns;26
fazzoletto;nouns;26
finestra;nouns;25
fiore;nouns;22
forbici;nouns;25
forchetta;nouns;22
formaggio;nouns;22
formica;nouns;25
frigorifero;nouns;26
gallina;nouns;24
gallo;nouns;25
gambe;nouns;23
garage;nouns;29
gatto;nouns;20
gelato;nouns;21
giacca;nouns;26
giocattolo;nouns;25
giornale;nouns;26
giraffa;nouns;26
gonna;nouns;28
gru;nouns;30
guanti;nouns;26
ippopotamo;nouns;29
jeep;nouns;36
latte;nouns;18
lavandino;nouns;27
lavatrice;nouns;26
leone;nouns;24
letto;nouns;21
libro;nouns;22
lingua;nouns;24
luce;nouns;20
luna;nouns;22
lupo;nouns;23
maglione;nouns;27
maiale;nouns;26
mano;nouns;19
martello;nouns;27
matita;nouns;20
mela;nouns;19
miele;nouns;28
mosca;nouns;25
motocicletta;nouns;26
mucca;nouns;22
musica;nouns;25
mutande;nouns;25
naso;nouns;20
neve;nouns;26
nuvola;nouns;27
oca;nouns;27
occhiali;nouns;22
occhio;nouns;20
ombelico;nouns;25
ombrello;nouns;24
orecchio;nouns;22
organo genitale femminile;nouns;30
organo genitale maschile;nouns;26
orologio;nouns;21
orso;nouns;24
paletta;nouns;25
palla;nouns;18
pancia;nouns;21
pane;nouns;18
pannolino;nouns;22
pantaloni;nouns;24
papera;nouns;26
pappa;nouns;18
passeggino;nouns;23
pasta;nouns;21
patate;nouns;22
patatine;nouns;25
pecora;nouns;24
pentola;nouns;27
pera;nouns;21
pesca;nouns;28
pesciolino;nouns;22
pettine;nouns;24
pianta;nouns;27
piatto;nouns;22
piede;nouns;20
pigiama;nouns;24
pinguino;nouns;30
pioggia;nouns;24
piselli;nouns;26
pistola;nouns;27
pollo;nouns;22
polpette;nouns;26
porta;nouns;22
prato;nouns;28
pulcino;nouns;26
rana;nouns;26
riso;nouns;24
salotto;nouns;32
sapone;nouns;23
sasso;nouns;23
scala;nouns;24
scarpe;nouns;18
scatola;nouns;27
sciarpa;nouns;27
scimmia;nouns;26
scivolo;nouns;25
scopa;nouns;23
secchiello;nouns;26
sederino;nouns;23
sedia;nouns;22
seggiolone;nouns;26
seno;nouns;26
soldi;nouns;23
sole;nouns;21
spazzolino da denti;nouns;25
specchio;nouns;26
stella;nouns;24
strada;nouns;26
sugo;nouns;27
tappeto;nouns;28
tappo;nouns;23
tartaruga;nouns;25
tavolo;nouns;24
tazza;nouns;25
telefono;nouns;22
televisione;nouns;24
terra;nouns;24
terrazza;nouns;32
testa;nouns;22
tigre;nouns;27
topo;nouns;25
torta;nouns;22
trattore;nouns;26
treno;nouns;22
trottola;nouns;30
tuta;nouns;25
uccellino;nouns;24
uovo;nouns;21
uva;nouns;22
vasca da bagno;nouns;28
vasino;nouns;26
vento;nouns;25
vestito;nouns;26
yogurt;nouns;24
zanzara;nouns;26
zucchero;nouns;23
